"","occupation","code","education","work_experience","job_training","year"
"947","Biological science teachers, postsecondary","25-1042","Doctoral or professional degree","None","None","2014"
"948","Forestry and conservation science teachers, postsecondary","25-1043","Doctoral or professional degree","None","None","2014"
"949","Atmospheric, earth, marine, and space sciences teachers, postsecondary","25-1051","Doctoral or professional degree","None","None","2014"
"950","Chemistry teachers, postsecondary","25-1052","Doctoral or professional degree","None","None","2014"
"951","Environmental science teachers, postsecondary","25-1053","Doctoral or professional degree","None","None","2014"
"952","Physics teachers, postsecondary","25-1054","Doctoral or professional degree","None","None","2014"
"953","Anthropology and archeology teachers, postsecondary","25-1061","Doctoral or professional degree","None","None","2014"
"954","Area, ethnic, and cultural studies teachers, postsecondary","25-1062","Doctoral or professional degree","None","None","2014"
"955","Economics teachers, postsecondary","25-1063","Doctoral or professional degree","None","None","2014"
"956","Geography teachers, postsecondary","25-1064","Doctoral or professional degree","None","None","2014"
"957","Political science teachers, postsecondary","25-1065","Doctoral or professional degree","None","None","2014"
"958","Psychology teachers, postsecondary","25-1066","Doctoral or professional degree","None","None","2014"
"959","Sociology teachers, postsecondary","25-1067","Doctoral or professional degree","None","None","2014"
"960","Social sciences teachers, postsecondary, all other","25-1069","Doctoral or professional degree","None","None","2014"
"961","Health specialties teachers, postsecondary","25-1071","Doctoral or professional degree","Less than 5 years","None","2014"
"962","Nursing instructors and teachers, postsecondary","25-1072","Master's degree","Less than 5 years","None","2014"
"963","Education teachers, postsecondary","25-1081","Doctoral or professional degree","Less than 5 years","None","2014"
"964","Library science teachers, postsecondary","25-1082","Doctoral or professional degree","None","None","2014"
"965","Criminal justice and law enforcement teachers, postsecondary","25-1111","Doctoral or professional degree","None","None","2014"
"966","Law teachers, postsecondary","25-1112","Doctoral or professional degree","None","None","2014"
"967","Social work teachers, postsecondary","25-1113","Doctoral or professional degree","None","None","2014"
"968","Art, drama, and music teachers, postsecondary","25-1121","Master's degree","None","None","2014"
"969","Communications teachers, postsecondary","25-1122","Doctoral or professional degree","None","None","2014"
"970","English language and literature teachers, postsecondary","25-1123","Doctoral or professional degree","None","None","2014"
"971","Foreign language and literature teachers, postsecondary","25-1124","Doctoral or professional degree","None","None","2014"
"972","History teachers, postsecondary","25-1125","Doctoral or professional degree","None","None","2014"
"973","Philosophy and religion teachers, postsecondary","25-1126","Doctoral or professional degree","None","None","2014"
"974","Graduate teaching assistants","25-1191","Bachelor's degree","None","None","2014"
"975","Home economics teachers, postsecondary","25-1192","Master's degree","None","None","2014"
"976","Recreation and fitness studies teachers, postsecondary","25-1193","Doctoral or professional degree","None","None","2014"
"977","Vocational education teachers, postsecondary","25-1194","Bachelor's degree","Less than 5 years","None","2014"
"978","Postsecondary teachers, all other","25-1199","Doctoral or professional degree","None","None","2014"
"979","Preschool teachers, except special education","25-2011","Associate's degree","None","None","2014"
"980","Kindergarten teachers, except special education","25-2012","Bachelor's degree","None","Internship/residency","2014"
"981","Elementary school teachers, except special education","25-2021","Bachelor's degree","None","Internship/residency","2014"
"982","Middle school teachers, except special and career/technical education","25-2022","Bachelor's degree","None","Internship/residency","2014"
"983","Career/technical education teachers, middle school","25-2023","Bachelor's degree","Less than 5 years","Internship/residency","2014"
"984","Secondary school teachers, except special and career/technical education","25-2031","Bachelor's degree","None","Internship/residency","2014"
"985","Career/technical education teachers, secondary school","25-2032","Bachelor's degree","Less than 5 years","Internship/residency","2014"
"986","Special education teachers, preschool","25-2051","Bachelor's degree","None","Internship/residency","2014"
"987","Special education teachers, kindergarten and elementary school","25-2052","Bachelor's degree","None","Internship/residency","2014"
"988","Special education teachers, middle school","25-2053","Bachelor's degree","None","Internship/residency","2014"
"989","Special education teachers, secondary school","25-2054","Bachelor's degree","None","Internship/residency","2014"
"990","Special education teachers, all other","25-2059","Bachelor's degree","None","Internship/residency","2014"
"991","Adult basic and secondary education and literacy teachers and instructors","25-3011","Bachelor's degree","None","Internship/residency","2014"
"992","Self-enrichment education teachers","25-3021","High school diploma or equivalent","Less than 5 years","None","2014"
"993","Teachers and instructors, all other","25-3099","Bachelor's degree","None","Internship/residency","2014"
"994","Archivists","25-4011","Master's degree","None","None","2014"
"995","Curators","25-4012","Master's degree","None","None","2014"
"996","Museum technicians and conservators","25-4013","Bachelor's degree","None","None","2014"
"997","Librarians","25-4021","Master's degree","None","None","2014"
"998","Library technicians","25-4031","Postsecondary nondegree award","None","None","2014"
"999","Audio-visual and multimedia collections specialists","25-9011","Bachelor's degree","Less than 5 years","None","2014"
"1000","Farm and home management advisors","25-9021","Master's degree","None","None","2014"
"1001","Instructional coordinators","25-9031","Master's degree","5 years or more","None","2014"
"1002","Teacher assistants","25-9041","Some college, no degree","None","None","2014"
"1003","Education, training, and library workers, all other","25-9099","Bachelor's degree","None","None","2014"
"1004","Art directors","27-1011","Bachelor's degree","5 years or more","None","2014"
"1005","Craft artists","27-1012","No formal educational credential","None","Long-term on-the-job training","2014"
"1006","Fine artists, including painters, sculptors, and illustrators","27-1013","Bachelor's degree","None","Long-term on-the-job training","2014"
"1007","Multimedia artists and animators","27-1014","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"1008","Artists and related workers, all other","27-1019","No formal educational credential","None","Long-term on-the-job training","2014"
"1009","Commercial and industrial designers","27-1021","Bachelor's degree","None","None","2014"
"1010","Fashion designers","27-1022","Bachelor's degree","None","None","2014"
"1011","Floral designers","27-1023","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1012","Graphic designers","27-1024","Bachelor's degree","None","None","2014"
"1013","Interior designers","27-1025","Bachelor's degree","None","None","2014"
"1014","Merchandise displayers and window trimmers","27-1026","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1015","Set and exhibit designers","27-1027","Bachelor's degree","None","None","2014"
"1016","Designers, all other","27-1029","Bachelor's degree","None","None","2014"
"1017","Actors","27-2011","Some college, no degree","None","Long-term on-the-job training","2014"
"1018","Producers and directors","27-2012","Bachelor's degree","Less than 5 years","None","2014"
"1019","Athletes and sports competitors","27-2021","No formal educational credential","None","Long-term on-the-job training","2014"
"1020","Coaches and scouts","27-2022","Bachelor's degree","None","None","2014"
"1021","Umpires, referees, and other sports officials","27-2023","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
