"","employment","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year"
"862","Insurance appraisers, auto damage(1)","13-1032",0.6,16.5,25.1,9.5,39.8,6.6,1.9,"2012"
"863","Compliance officers","13-1041",1.1,9.8,18.4,9.9,39.4,15.9,5.4,"2012"
"864","Cost estimators","13-1051",3.7,23,29.3,11.5,28,3.9,0.5,"2012"
"865","Human resources specialists(1)","13-1071",0.9,10.1,19.9,8.6,42.6,15.5,2.3,"2012"
"866","Farm labor contractors(1)","13-1074",0.9,10.1,19.9,8.6,42.6,15.5,2.3,"2012"
"867","Labor relations specialists(1)","13-1075",0.9,10.1,19.9,8.6,42.6,15.5,2.3,"2012"
"868","Logisticians","13-1081",1.4,15.3,27.5,11.3,33.3,10,1,"2012"
"869","Management analysts","13-1111",0.5,4.9,12.4,5.1,41,29,7.2,"2012"
"870","Meeting, convention, and event planners","13-1121",1.5,8.5,18.5,8.6,50.7,10.7,1.5,"2012"
"871","Fundraisers","13-1131",1.5,3.2,8.6,2.6,48.5,30.3,5.3,"2012"
"872","Compensation, benefits, and job analysis specialists","13-1141",0.9,11.2,22.5,10.5,41,12.2,1.5,"2012"
"873","Training and development specialists","13-1151",1.5,12.8,23.7,10,33.9,16.2,1.8,"2012"
"874","Market research analysts and marketing specialists","13-1161",0.7,3.9,10.6,4.9,53.9,23,3.1,"2012"
"875","Business operations specialists, all other","13-1199",1.7,10.1,18.1,9.8,39,17.3,4,"2012"
"876","Accountants and auditors","13-2011",0.2,4.2,8,9.1,55.3,20.5,2.7,"2012"
"877","Appraisers and assessors of real estate","13-2021",0.9,11.7,25.4,9.3,41.7,8.1,2.9,"2012"
"878","Budget analysts","13-2031",0.4,4,15.2,6.8,46.4,26.1,1.1,"2012"
"879","Credit analysts","13-2041",1,9.9,21.6,7,44.1,15.3,1.1,"2012"
"880","Financial analysts","13-2051",0.2,2.7,8,3,45.3,35.6,5.2,"2012"
"881","Personal financial advisors","13-2052",0.3,3.4,11.5,4.7,52.7,22,5.4,"2012"
"882","Insurance underwriters","13-2053",0.3,15,22,7.4,45.7,7.8,1.9,"2012"
"883","Financial examiners","13-2061",0.7,2.6,13,4.4,57.9,19.4,2.1,"2012"
"884","Credit counselors(1)","13-2071",0.6,13.3,24.3,9.5,41.4,9.7,1.1,"2012"
"885","Loan officers(1)","13-2072",0.6,13.3,24.3,9.5,41.4,9.7,1.1,"2012"
"886","Tax examiners and collectors, and revenue agents","13-2081",1.2,18.4,26.1,8.9,33.9,10.2,1.3,"2012"
"887","Tax preparers","13-2082",1.3,13.4,24,9.8,34.3,12.4,4.9,"2012"
"888","Financial specialists, all other","13-2099",1.2,10.4,16.6,8.7,37.7,22.9,2.6,"2012"
"889","Computer and information research scientists","15-1111",0,1.1,4.7,2.1,38.3,28,25.9,"2012"
"890","Computer systems analysts","15-1121",0.5,4.1,14.5,8.2,48.1,22.1,2.5,"2012"
"891","Information security analysts","15-1122",0.8,5.5,18.7,8.9,44.6,20.2,1.4,"2012"
"892","Computer programmers","15-1131",0.7,4.7,13.1,9.7,49.7,19.6,2.5,"2012"
"893","Software developers, applications(1)","15-1132",0.4,2.2,8.3,4.8,49.8,30.6,4,"2012"
"894","Software developers, systems software(1)","15-1133",0.4,2.2,8.3,4.8,49.8,30.6,4,"2012"
"895","Web developers","15-1134",0.5,4.3,17.3,9.9,52.3,14.6,1.2,"2012"
"896","Database administrators","15-1141",1,5.3,13.8,8.8,47.3,21.5,2.4,"2012"
"897","Network and computer systems administrators","15-1142",0.7,7.5,23.2,16.3,40,11.1,1.2,"2012"
"898","Computer network architects","15-1143",0.2,5.4,23.3,13.7,40.4,15.8,1.2,"2012"
"899","Computer user support specialists(1)","15-1151",0.7,11.1,28,17.2,34.2,8,0.8,"2012"
"900","Computer network support specialists(1)","15-1152",0.7,11.1,28,17.2,34.2,8,0.8,"2012"
"901","Computer occupations, all other","15-1199",0.7,8.1,22.4,14.5,38.8,14.4,1.2,"2012"
"902","Actuaries","15-2011",0,0,1.5,0,61.3,23.9,13.3,"2012"
"903","Mathematicians(1)","15-2021",0,0.1,4.8,2.9,30.1,42.8,19.3,"2012"
"904","Operations research analysts","15-2031",0.6,5,16.6,6.8,40.7,26.3,4,"2012"
"905","Statisticians(1)","15-2041",0,0.1,4.8,2.9,30.1,42.8,19.3,"2012"
"906","Mathematical technicians(1)","15-2091",0,0.1,4.8,2.9,30.1,42.8,19.3,"2012"
"907","Mathematical science occupations, all other(1)","15-2099",0,0.1,4.8,2.9,30.1,42.8,19.3,"2012"
"908","Architects, except landscape and naval(1)","17-1011",0.1,1.3,4.6,4.7,49.1,31.9,8.2,"2012"
"909","Landscape architects(1)","17-1012",0.1,1.3,4.6,4.7,49.1,31.9,8.2,"2012"
"910","Cartographers and photogrammetrists(1)","17-1021",0.2,0.1,12.3,8.1,60.5,15,3.8,"2012"
"911","Surveyors(1)","17-1022",0.2,0.1,12.3,8.1,60.5,15,3.8,"2012"
"912","Aerospace engineers","17-2011",0.1,2.3,6.5,5.2,48.1,32.7,5.1,"2012"
"913","Agricultural engineers(1)","17-2021",0,2.1,4.1,11.7,53.3,20.8,8,"2012"
"914","Biomedical engineers(1)","17-2031",0,2.1,4.1,11.7,53.3,20.8,8,"2012"
"915","Chemical engineers","17-2041",0.2,3.8,5,4.1,58.8,20.7,7.4,"2012"
"916","Civil engineers","17-2051",0.1,2.3,6.2,4.7,56.9,25.7,4,"2012"
"917","Computer hardware engineers","17-2061",0,5.3,10.3,9.2,43,25.5,6.7,"2012"
"918","Electrical engineers(1)","17-2071",0.1,3,7,8.4,49.1,25.6,6.7,"2012"
"919","Electronics engineers, except computer(1)","17-2072",0.1,3,7,8.4,49.1,25.6,6.7,"2012"
"920","Environmental engineers","17-2081",0.4,5.3,3.7,2.7,53.3,28.7,5.9,"2012"
"921","Health and safety engineers, except mining safety engineers and inspectors(1)","17-2111",0.1,5.8,11.7,9.6,52.4,18.4,2,"2012"
"922","Industrial engineers(1)","17-2112",0.1,5.8,11.7,9.6,52.4,18.4,2,"2012"
"923","Marine engineers and naval architects","17-2121",0,10,9.8,6.1,55,16.8,2.4,"2012"
"924","Materials engineers","17-2131",0,5.1,10.6,10.4,48.3,19.2,6.3,"2012"
"925","Mechanical engineers","17-2141",0.1,4.5,10.1,10.3,51.6,20.4,3.1,"2012"
"926","Mining and geological engineers, including mining safety engineers(1)","17-2151",0.2,5.9,6.4,4.9,56.3,21.5,4.7,"2012"
"927","Nuclear engineers(1)","17-2161",0.2,2.2,7.6,6.7,48.1,28,7.3,"2012"
"928","Petroleum engineers(1)","17-2171",0.2,5.9,6.4,4.9,56.3,21.5,4.7,"2012"
"929","Engineers, all other(1)","17-2199",0.2,2.2,7.6,6.7,48.1,28,7.3,"2012"
"930","Architectural and civil drafters(1)","17-3011",1.2,10.2,28.4,33.2,21.8,3.9,1.3,"2012"
"931","Electrical and electronics drafters(1)","17-3012",1.2,10.2,28.4,33.2,21.8,3.9,1.3,"2012"
"932","Mechanical drafters(1)","17-3013",1.2,10.2,28.4,33.2,21.8,3.9,1.3,"2012"
"933","Drafters, all other(1)","17-3019",1.2,10.2,28.4,33.2,21.8,3.9,1.3,"2012"
"934","Aerospace engineering and operations technicians(1)","17-3021",4,22.6,33.5,21.6,15.2,2.6,0.5,"2012"
"935","Civil engineering technicians(1)","17-3022",4,22.6,33.5,21.6,15.2,2.6,0.5,"2012"
"936","Electrical and electronics engineering technicians(1)","17-3023",4,22.6,33.5,21.6,15.2,2.6,0.5,"2012"
"937","Electro-mechanical technicians(1)","17-3024",4,22.6,33.5,21.6,15.2,2.6,0.5,"2012"
"938","Environmental engineering technicians(1)","17-3025",4,22.6,33.5,21.6,15.2,2.6,0.5,"2012"
"939","Industrial engineering technicians(1)","17-3026",4,22.6,33.5,21.6,15.2,2.6,0.5,"2012"
"940","Mechanical engineering technicians(1)","17-3027",4,22.6,33.5,21.6,15.2,2.6,0.5,"2012"
"941","Engineering technicians, except drafters, all other(1)","17-3029",4,22.6,33.5,21.6,15.2,2.6,0.5,"2012"
"942","Surveying and mapping technicians","17-3031",4.5,26.5,37.9,20.6,9.3,1.2,0.1,"2012"
"943","Animal scientists(1)","19-1011",0,0.2,10.9,8,45.8,21,14.2,"2012"
"944","Food scientists and technologists(1)","19-1012",0,0.2,10.9,8,45.8,21,14.2,"2012"
"945","Soil and plant scientists(1)","19-1013",0,0.2,10.9,8,45.8,21,14.2,"2012"
"946","Biochemists and biophysicists(1)","19-1021",0.1,0.2,2.1,2.2,43.8,32,19.6,"2012"
"947","Microbiologists(1)","19-1022",0.1,0.2,2.1,2.2,43.8,32,19.6,"2012"
"948","Zoologists and wildlife biologists(1)","19-1023",0.1,0.2,2.1,2.2,43.8,32,19.6,"2012"
"949","Biological scientists, all other(1)","19-1029",0.1,0.2,2.1,2.2,43.8,32,19.6,"2012"
"950","Conservation scientists(1)","19-1031",0.6,0.7,8.7,8.9,58,19.1,3.9,"2012"
"951","Foresters(1)","19-1032",0.6,0.7,8.7,8.9,58,19.1,3.9,"2012"
"952","Epidemiologists(1)","19-1041",0.1,0.3,0.9,0.5,7.5,28.9,61.7,"2012"
"953","Medical scientists, except epidemiologists(1)","19-1042",0.1,0.3,0.9,0.5,7.5,28.9,61.7,"2012"
"954","Life scientists, all other(1)","19-1099",0.1,0.3,0.9,0.5,7.5,28.9,61.7,"2012"
"955","Astronomers(1)","19-2011",0.4,0.1,3,2.2,22.2,16,56.3,"2012"
"956","Physicists(1)","19-2012",0.4,0.1,3,2.2,22.2,16,56.3,"2012"
"957","Atmospheric and space scientists","19-2021",0,0,10.2,9.2,44.7,24.7,11.1,"2012"
"958","Chemists(1)","19-2031",0.1,0.3,2.7,4.4,54.3,19.7,18.4,"2012"
"959","Materials scientists(1)","19-2032",0.1,0.3,2.7,4.4,54.3,19.7,18.4,"2012"
"960","Environmental scientists and specialists, including health(1)","19-2041",0.3,0,4.1,2.3,47.1,36.8,9.4,"2012"
"961","Geoscientists, except hydrologists and geographers(1)","19-2042",0.3,0,4.1,2.3,47.1,36.8,9.4,"2012"
"962","Hydrologists(1)","19-2043",0.3,0,4.1,2.3,47.1,36.8,9.4,"2012"
"963","Physical scientists, all other","19-2099",0.1,0.4,0.5,0.8,25.7,22.1,50.4,"2012"
"964","Economists","19-3011",0.8,0,0.6,0.2,25.6,37.2,35.7,"2012"
"965","Survey researchers(1)","19-3022",0.2,0.3,4.8,3.9,36.8,37,17,"2012"
"966","Clinical, counseling, and school psychologists(1)","19-3031",0.2,0.2,0.2,0.2,5.6,44.3,49.3,"2012"
"967","Industrial-organizational psychologists(1)","19-3032",0.2,0.2,0.2,0.2,5.6,44.3,49.3,"2012"
"968","Psychologists, all other(1)","19-3039",0.2,0.2,0.2,0.2,5.6,44.3,49.3,"2012"
"969","Sociologists(1)","19-3041",0.2,0.3,4.8,3.9,36.8,37,17,"2012"
"970","Urban and regional planners","19-3051",0,1.4,4.3,1.7,37,50.6,4.9,"2012"
"971","Anthropologists and archeologists(1)","19-3091",0.2,0.3,4.8,3.9,36.8,37,17,"2012"
"972","Geographers(1)","19-3092",0.2,0.3,4.8,3.9,36.8,37,17,"2012"
"973","Historians(1)","19-3093",0.2,0.3,4.8,3.9,36.8,37,17,"2012"
"974","Political scientists(1)","19-3094",0.2,0.3,4.8,3.9,36.8,37,17,"2012"
"975","Social scientists and related workers, all other(1)","19-3099",0.2,0.3,4.8,3.9,36.8,37,17,"2012"
"976","Agricultural and food science technicians","19-4011",8.6,29,25.8,10.5,22.1,3.3,0.7,"2012"
"977","Biological technicians","19-4021",1.4,17.1,21,9.4,36.3,7.4,7.4,"2012"
"978","Chemical technicians","19-4031",3.9,22.7,23.7,12.1,27.5,6.8,3.3,"2012"
"979","Geological and petroleum technicians(1)","19-4041",2.9,28.6,25,13.1,24.7,5,0.8,"2012"
"980","Nuclear technicians(1)","19-4051",2.9,28.6,25,13.1,24.7,5,0.8,"2012"
"981","Social science research assistants(1)","19-4061",2.1,16.2,22.8,11.1,32.5,10,5.5,"2012"
"982","Environmental science and protection technicians, including health(1)","19-4091",2.1,16.2,22.8,11.1,32.5,10,5.5,"2012"
"983","Forensic science technicians(1)","19-4092",2.1,16.2,22.8,11.1,32.5,10,5.5,"2012"
"984","Forest and conservation technicians(1)","19-4093",2.1,16.2,22.8,11.1,32.5,10,5.5,"2012"
"985","Life, physical, and social science technicians, all other(1)","19-4099",2.1,16.2,22.8,11.1,32.5,10,5.5,"2012"
"986","Substance abuse and behavioral disorder counselors(1)","21-1011",1,5,10.1,5.4,25.1,48,5.4,"2012"
"987","Educational, guidance, school, and vocational counselors(1)","21-1012",1,5,10.1,5.4,25.1,48,5.4,"2012"
"988","Marriage and family therapists(1)","21-1013",1,5,10.1,5.4,25.1,48,5.4,"2012"
"989","Mental health counselors(1)","21-1014",1,5,10.1,5.4,25.1,48,5.4,"2012"
"990","Rehabilitation counselors(1)","21-1015",1,5,10.1,5.4,25.1,48,5.4,"2012"
"991","Counselors, all other(1)","21-1019",1,5,10.1,5.4,25.1,48,5.4,"2012"
"992","Child, family, and school social workers(1)","21-1021",1.2,5.6,9.1,5.7,40.8,35.6,2.1,"2012"
"993","Healthcare social workers(1)","21-1022",1.2,5.6,9.1,5.7,40.8,35.6,2.1,"2012"
"994","Mental health and substance abuse social workers(1)","21-1023",1.2,5.6,9.1,5.7,40.8,35.6,2.1,"2012"
"995","Social workers, all other(1)","21-1029",1.2,5.6,9.1,5.7,40.8,35.6,2.1,"2012"
"996","Health educators(1)","21-1091",3.1,10.8,22.2,9,32.3,19.5,3.1,"2012"
"997","Probation officers and correctional treatment specialists","21-1092",0.5,6.4,9.6,5.8,60.1,16.7,1,"2012"
"998","Social and human service assistants","21-1093",2.4,16.9,28.4,11.6,28.8,11.2,0.8,"2012"
"999","Community health workers(1)","21-1094",3.1,10.8,22.2,9,32.3,19.5,3.1,"2012"
"1000","Community and social service specialists, all other(1)","21-1099",3.1,10.8,22.2,9,32.3,19.5,3.1,"2012"
"1001","Clergy","21-2011",2.2,6.8,11.4,4.6,23.9,34.9,16.2,"2012"
"1002","Directors, religious activities and education","21-2021",2.2,7.3,15.1,9.4,37.5,23.4,5.1,"2012"
"1003","Religious workers, all other","21-2099",2,11.3,17.9,8,36.3,18.9,5.5,"2012"
"1004","Lawyers(1)","23-1011",0.1,0.4,0.4,0.5,3.5,4.1,91,"2012"
"1005","Judicial law clerks","23-1012",0,1.3,5.6,2.3,9.7,4.2,76.9,"2012"
"1006","Administrative law judges, adjudicators, and hearing officers(1)","23-1021",0.1,0.4,0.4,0.5,3.5,4.1,91,"2012"
"1007","Arbitrators, mediators, and conciliators(1)","23-1022",0.1,0.4,0.4,0.5,3.5,4.1,91,"2012"
"1008","Judges, magistrate judges, and magistrates(1)","23-1023",0.1,0.4,0.4,0.5,3.5,4.1,91,"2012"
"1009","Paralegals and legal assistants","23-2011",1,11.2,24.1,18.5,37.5,4.9,2.7,"2012"
"1010","Court reporters(1)","23-2091",1.2,17.3,26.5,13.9,28.1,8.6,4.5,"2012"
"1011","Title examiners, abstractors, and searchers(1)","23-2093",1.2,17.3,26.5,13.9,28.1,8.6,4.5,"2012"
"1012","Legal support workers, all other(1)","23-2099",1.2,17.3,26.5,13.9,28.1,8.6,4.5,"2012"
"1013","Business teachers, postsecondary(1)","25-1011",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1014","Computer science teachers, postsecondary(1)","25-1021",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1015","Mathematical science teachers, postsecondary(1)","25-1022",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1016","Architecture teachers, postsecondary(1)","25-1031",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1017","Engineering teachers, postsecondary(1)","25-1032",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1018","Agricultural sciences teachers, postsecondary(1)","25-1041",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1019","Biological science teachers, postsecondary(1)","25-1042",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1020","Forestry and conservation science teachers, postsecondary(1)","25-1043",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1021","Atmospheric, earth, marine, and space sciences teachers, postsecondary(1)","25-1051",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1022","Chemistry teachers, postsecondary(1)","25-1052",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1023","Environmental science teachers, postsecondary(1)","25-1053",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1024","Physics teachers, postsecondary(1)","25-1054",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1025","Anthropology and archeology teachers, postsecondary(1)","25-1061",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1026","Area, ethnic, and cultural studies teachers, postsecondary(1)","25-1062",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1027","Economics teachers, postsecondary(1)","25-1063",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1028","Geography teachers, postsecondary(1)","25-1064",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1029","Political science teachers, postsecondary(1)","25-1065",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1030","Psychology teachers, postsecondary(1)","25-1066",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1031","Sociology teachers, postsecondary(1)","25-1067",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1032","Social sciences teachers, postsecondary, all other(1)","25-1069",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1033","Health specialties teachers, postsecondary(1)","25-1071",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1034","Nursing instructors and teachers, postsecondary(1)","25-1072",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1035","Education teachers, postsecondary(1)","25-1081",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1036","Library science teachers, postsecondary(1)","25-1082",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1037","Criminal justice and law enforcement teachers, postsecondary(1)","25-1111",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1038","Law teachers, postsecondary(1)","25-1112",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1039","Social work teachers, postsecondary(1)","25-1113",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1040","Art, drama, and music teachers, postsecondary(1)","25-1121",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1041","Communications teachers, postsecondary(1)","25-1122",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1042","English language and literature teachers, postsecondary(1)","25-1123",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1043","Foreign language and literature teachers, postsecondary(1)","25-1124",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1044","History teachers, postsecondary(1)","25-1125",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1045","Philosophy and religion teachers, postsecondary(1)","25-1126",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1046","Graduate teaching assistants(1)","25-1191",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1047","Home economics teachers, postsecondary(1)","25-1192",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1048","Recreation and fitness studies teachers, postsecondary(1)","25-1193",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1049","Vocational education teachers, postsecondary(1)","25-1194",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1050","Postsecondary teachers, all other(1)","25-1199",0.2,0.2,2.4,2,16.2,35.7,43.3,"2012"
"1051","Preschool teachers, except special education(1)","25-2011",1.9,12.8,22.5,15.3,34.3,12.4,0.7,"2012"
"1052","Kindergarten teachers, except special education(1)","25-2012",1.9,12.8,22.5,15.3,34.3,12.4,0.7,"2012"
"1053","Elementary school teachers, except special education(1)","25-2021",0.2,0.3,3.1,2,43.4,47,4,"2012"
"1054","Middle school teachers, except special and career/technical education(1)","25-2022",0.2,0.3,3.1,2,43.4,47,4,"2012"
"1055","Career/technical education teachers, middle school(1)","25-2023",0.2,0.3,3.1,2,43.4,47,4,"2012"
"1056","Secondary school teachers, except special and career/technical education(1)","25-2031",0.3,0.3,3.1,1.7,41.2,49,4.4,"2012"
"1057","Career/technical education teachers, secondary school(1)","25-2032",0.3,0.3,3.1,1.7,41.2,49,4.4,"2012"
"1058","Special education teachers, preschool(1)","25-2051",0.1,3.9,5.8,3.9,35.1,47.8,3.3,"2012"
"1059","Special education teachers, kindergarten and elementary school(1)","25-2052",0.1,3.9,5.8,3.9,35.1,47.8,3.3,"2012"
"1060","Special education teachers, middle school(1)","25-2053",0.1,3.9,5.8,3.9,35.1,47.8,3.3,"2012"
"1061","Special education teachers, secondary school(1)","25-2054",0.1,3.9,5.8,3.9,35.1,47.8,3.3,"2012"
"1062","Special education teachers, all other(1)","25-2059",0.1,3.9,5.8,3.9,35.1,47.8,3.3,"2012"
"1063","Adult basic and secondary education and literacy teachers and instructors(1)","25-3011",1.7,10.7,18.5,8.2,36.4,20.4,4.1,"2012"
"1064","Self-enrichment education teachers(1)","25-3021",1.7,10.7,18.5,8.2,36.4,20.4,4.1,"2012"
"1065","Teachers and instructors, all other(1)","25-3099",1.7,10.7,18.5,8.2,36.4,20.4,4.1,"2012"
"1066","Archivists(1)","25-4011",0.6,4.2,8.6,2.9,35,40,8.7,"2012"
"1067","Curators(1)","25-4012",0.6,4.2,8.6,2.9,35,40,8.7,"2012"
"1068","Museum technicians and conservators(1)","25-4013",0.6,4.2,8.6,2.9,35,40,8.7,"2012"
"1069","Librarians","25-4021",0.2,0.4,9.9,4.3,23.1,57,5.1,"2012"
"1070","Library technicians","25-4031",3.2,35.5,16.2,9.9,23.7,10.1,1.4,"2012"
"1071","Audio-visual and multimedia collections specialists(1)","25-9011",0.8,5.6,10.7,5.3,30.6,39,8,"2012"
"1072","Farm and home management advisors(1)","25-9021",0.8,5.6,10.7,5.3,30.6,39,8,"2012"
"1073","Instructional coordinators(1)","25-9031",0.8,5.6,10.7,5.3,30.6,39,8,"2012"
"1074","Teacher assistants","25-9041",2.6,29.3,29,14.7,19.2,4.6,0.6,"2012"
"1075","Education, training, and library workers, all other(1)","25-9099",0.8,5.6,10.7,5.3,30.6,39,8,"2012"
"1076","Art directors(1)","27-1011",3,10.7,18.4,9,45,12,1.9,"2012"
"1077","Craft artists(1)","27-1012",3,10.7,18.4,9,45,12,1.9,"2012"
"1078","Fine artists, including painters, sculptors, and illustrators(1)","27-1013",3,10.7,18.4,9,45,12,1.9,"2012"
"1079","Multimedia artists and animators(1)","27-1014",3,10.7,18.4,9,45,12,1.9,"2012"
"1080","Artists and related workers, all other(1)","27-1019",3,10.7,18.4,9,45,12,1.9,"2012"
"1081","Commercial and industrial designers(1)","27-1021",2.3,9.8,17.6,12.7,47.4,8.7,1.4,"2012"
"1082","Fashion designers(1)","27-1022",2.3,9.8,17.6,12.7,47.4,8.7,1.4,"2012"
"1083","Floral designers(1)","27-1023",2.3,9.8,17.6,12.7,47.4,8.7,1.4,"2012"
"1084","Graphic designers(1)","27-1024",2.3,9.8,17.6,12.7,47.4,8.7,1.4,"2012"
"1085","Interior designers(1)","27-1025",2.3,9.8,17.6,12.7,47.4,8.7,1.4,"2012"
"1086","Merchandise displayers and window trimmers(1)","27-1026",2.3,9.8,17.6,12.7,47.4,8.7,1.4,"2012"
"1087","Set and exhibit designers(1)","27-1027",2.3,9.8,17.6,12.7,47.4,8.7,1.4,"2012"
"1088","Designers, all other(1)","27-1029",2.3,9.8,17.6,12.7,47.4,8.7,1.4,"2012"
