employment,code,degrees,number,year
"Environmental scientists and specialists, including health",19-2041,high school,0.2,2010
"Environmental scientists and specialists, including health",19-2041,"some college, no degree",3.1,2010
"Environmental scientists and specialists, including health",19-2041,associate,2.6,2010
"Environmental scientists and specialists, including health",19-2041,bachelor,46.7,2010
"Environmental scientists and specialists, including health",19-2041,master,35.7,2010
"Environmental scientists and specialists, including health",19-2041,doctor/professional,11.6,2010
"Geoscientists, except hydrologists and geographers",19-2042,less hs,0.1,2010
"Geoscientists, except hydrologists and geographers",19-2042,high school,0.2,2010
"Geoscientists, except hydrologists and geographers",19-2042,"some college, no degree",3.1,2010
"Geoscientists, except hydrologists and geographers",19-2042,associate,2.6,2010
"Geoscientists, except hydrologists and geographers",19-2042,bachelor,46.7,2010
"Geoscientists, except hydrologists and geographers",19-2042,master,35.7,2010
"Geoscientists, except hydrologists and geographers",19-2042,doctor/professional,11.6,2010
Hydrologists,19-2043,less hs,0.1,2010
Hydrologists,19-2043,high school,0.2,2010
Hydrologists,19-2043,"some college, no degree",3.1,2010
Hydrologists,19-2043,associate,2.6,2010
Hydrologists,19-2043,bachelor,46.7,2010
Hydrologists,19-2043,master,35.7,2010
Hydrologists,19-2043,doctor/professional,11.6,2010
"Physical scientists, all other",19-2099,less hs,0.1,2010
"Physical scientists, all other",19-2099,high school,0,2010
"Physical scientists, all other",19-2099,"some college, no degree",0.2,2010
"Physical scientists, all other",19-2099,associate,0.9,2010
"Physical scientists, all other",19-2099,bachelor,24.2,2010
"Physical scientists, all other",19-2099,master,22.8,2010
"Physical scientists, all other",19-2099,doctor/professional,51.8,2010
Economists,19-3011,less hs,0.2,2010
Economists,19-3011,high school,0.5,2010
Economists,19-3011,"some college, no degree",0.4,2010
Economists,19-3011,associate,0.2,2010
Economists,19-3011,bachelor,22.1,2010
Economists,19-3011,master,41.5,2010
Economists,19-3011,doctor/professional,35.2,2010
Survey researchers,19-3022,less hs,0.3,2010
Survey researchers,19-3022,high school,0.5,2010
Survey researchers,19-3022,"some college, no degree",5.4,2010
Survey researchers,19-3022,associate,3.9,2010
Survey researchers,19-3022,bachelor,37.6,2010
Survey researchers,19-3022,master,38.4,2010
Survey researchers,19-3022,doctor/professional,13.8,2010
"Clinical, counseling, and school psychologists",19-3031,less hs,0.1,2010
"Clinical, counseling, and school psychologists",19-3031,high school,0.1,2010
"Clinical, counseling, and school psychologists",19-3031,"some college, no degree",0.3,2010
"Clinical, counseling, and school psychologists",19-3031,associate,0.1,2010
"Clinical, counseling, and school psychologists",19-3031,bachelor,6.9,2010
"Clinical, counseling, and school psychologists",19-3031,master,40.8,2010
"Clinical, counseling, and school psychologists",19-3031,doctor/professional,51.7,2010
Industrial-organizational psychologists,19-3032,less hs,0.1,2010
Industrial-organizational psychologists,19-3032,high school,0.1,2010
Industrial-organizational psychologists,19-3032,"some college, no degree",0.3,2010
Industrial-organizational psychologists,19-3032,associate,0.1,2010
Industrial-organizational psychologists,19-3032,bachelor,6.9,2010
Industrial-organizational psychologists,19-3032,master,40.8,2010
Industrial-organizational psychologists,19-3032,doctor/professional,51.7,2010
"Psychologists, all other",19-3039,less hs,0.1,2010
"Psychologists, all other",19-3039,high school,0.1,2010
"Psychologists, all other",19-3039,"some college, no degree",0.3,2010
"Psychologists, all other",19-3039,associate,0.1,2010
"Psychologists, all other",19-3039,bachelor,6.9,2010
"Psychologists, all other",19-3039,master,40.8,2010
"Psychologists, all other",19-3039,doctor/professional,51.7,2010
Sociologists,19-3041,less hs,0.3,2010
Sociologists,19-3041,high school,0.5,2010
Sociologists,19-3041,"some college, no degree",5.4,2010
Sociologists,19-3041,associate,3.9,2010
Sociologists,19-3041,bachelor,37.6,2010
Sociologists,19-3041,master,38.4,2010
Sociologists,19-3041,doctor/professional,13.8,2010
Urban and regional planners,19-3051,less hs,0,2010
Urban and regional planners,19-3051,high school,0.3,2010
Urban and regional planners,19-3051,"some college, no degree",4.1,2010
Urban and regional planners,19-3051,associate,2.1,2010
Urban and regional planners,19-3051,bachelor,39.9,2010
Urban and regional planners,19-3051,master,48.8,2010
Urban and regional planners,19-3051,doctor/professional,4.7,2010
Anthropologists and archeologists,19-3091,less hs,0.3,2010
Anthropologists and archeologists,19-3091,high school,0.5,2010
Anthropologists and archeologists,19-3091,"some college, no degree",5.4,2010
Anthropologists and archeologists,19-3091,associate,3.9,2010
Anthropologists and archeologists,19-3091,bachelor,37.6,2010
Anthropologists and archeologists,19-3091,master,38.4,2010
Anthropologists and archeologists,19-3091,doctor/professional,13.8,2010
Geographers,19-3092,less hs,0.3,2010
Geographers,19-3092,high school,0.5,2010
Geographers,19-3092,"some college, no degree",5.4,2010
Geographers,19-3092,associate,3.9,2010
Geographers,19-3092,bachelor,37.6,2010
Geographers,19-3092,master,38.4,2010
Geographers,19-3092,doctor/professional,13.8,2010
Historians,19-3093,less hs,0.3,2010
Historians,19-3093,high school,0.5,2010
Historians,19-3093,"some college, no degree",5.4,2010
Historians,19-3093,associate,3.9,2010
Historians,19-3093,bachelor,37.6,2010
Historians,19-3093,master,38.4,2010
Historians,19-3093,doctor/professional,13.8,2010
Political scientists,19-3094,less hs,0.3,2010
Political scientists,19-3094,high school,0.5,2010
Political scientists,19-3094,"some college, no degree",5.4,2010
Political scientists,19-3094,associate,3.9,2010
Political scientists,19-3094,bachelor,37.6,2010
Political scientists,19-3094,master,38.4,2010
Political scientists,19-3094,doctor/professional,13.8,2010
"Social scientists and related workers, all other",19-3099,less hs,0.3,2010
"Social scientists and related workers, all other",19-3099,high school,0.5,2010
"Social scientists and related workers, all other",19-3099,"some college, no degree",5.4,2010
"Social scientists and related workers, all other",19-3099,associate,3.9,2010
"Social scientists and related workers, all other",19-3099,bachelor,37.6,2010
"Social scientists and related workers, all other",19-3099,master,38.4,2010
"Social scientists and related workers, all other",19-3099,doctor/professional,13.8,2010
Agricultural and food science technicians,19-4011,less hs,7.8,2010
Agricultural and food science technicians,19-4011,high school,28.8,2010
Agricultural and food science technicians,19-4011,"some college, no degree",23.1,2010
Agricultural and food science technicians,19-4011,associate,11.3,2010
Agricultural and food science technicians,19-4011,bachelor,23.9,2010
Agricultural and food science technicians,19-4011,master,3.1,2010
Agricultural and food science technicians,19-4011,doctor/professional,1.9,2010
Biological technicians,19-4021,less hs,3.4,2010
Biological technicians,19-4021,high school,16.6,2010
Biological technicians,19-4021,"some college, no degree",17,2010
Biological technicians,19-4021,associate,8.7,2010
Biological technicians,19-4021,bachelor,39.5,2010
Biological technicians,19-4021,master,8.3,2010
Biological technicians,19-4021,doctor/professional,6.5,2010
Chemical technicians,19-4031,less hs,3.7,2010
Chemical technicians,19-4031,high school,23.3,2010
Chemical technicians,19-4031,"some college, no degree",26.8,2010
Chemical technicians,19-4031,associate,11.8,2010
Chemical technicians,19-4031,bachelor,27.1,2010
Chemical technicians,19-4031,master,4.2,2010
Chemical technicians,19-4031,doctor/professional,3.1,2010
Geological and petroleum technicians,19-4041,less hs,4.1,2010
Geological and petroleum technicians,19-4041,high school,21.5,2010
Geological and petroleum technicians,19-4041,"some college, no degree",30,2010
Geological and petroleum technicians,19-4041,associate,10.7,2010
Geological and petroleum technicians,19-4041,bachelor,24.8,2010
Geological and petroleum technicians,19-4041,master,6.9,2010
Geological and petroleum technicians,19-4041,doctor/professional,2,2010
Nuclear technicians,19-4051,less hs,4.1,2010
Nuclear technicians,19-4051,high school,21.5,2010
Nuclear technicians,19-4051,"some college, no degree",30,2010
Nuclear technicians,19-4051,associate,10.7,2010
Nuclear technicians,19-4051,bachelor,24.8,2010
Nuclear technicians,19-4051,master,6.9,2010
Nuclear technicians,19-4051,doctor/professional,2,2010
Social science research assistants,19-4061,less hs,3.2,2010
Social science research assistants,19-4061,high school,13.8,2010
Social science research assistants,19-4061,"some college, no degree",25,2010
Social science research assistants,19-4061,associate,12,2010
Social science research assistants,19-4061,bachelor,30.9,2010
Social science research assistants,19-4061,master,10.3,2010
Social science research assistants,19-4061,doctor/professional,4.8,2010
"Environmental science and protection technicians, including health",19-4091,less hs,3.2,2010
"Environmental science and protection technicians, including health",19-4091,high school,13.8,2010
"Environmental science and protection technicians, including health",19-4091,"some college, no degree",25,2010
"Environmental science and protection technicians, including health",19-4091,associate,12,2010
"Environmental science and protection technicians, including health",19-4091,bachelor,30.9,2010
"Environmental science and protection technicians, including health",19-4091,master,10.3,2010
"Environmental science and protection technicians, including health",19-4091,doctor/professional,4.8,2010
Forensic science technicians,19-4092,less hs,3.2,2010
Forensic science technicians,19-4092,high school,13.8,2010
Forensic science technicians,19-4092,"some college, no degree",25,2010
Forensic science technicians,19-4092,associate,12,2010
Forensic science technicians,19-4092,bachelor,30.9,2010
Forensic science technicians,19-4092,master,10.3,2010
Forensic science technicians,19-4092,doctor/professional,4.8,2010
Forest and conservation technicians,19-4093,less hs,3.2,2010
Forest and conservation technicians,19-4093,high school,13.8,2010
Forest and conservation technicians,19-4093,"some college, no degree",25,2010
Forest and conservation technicians,19-4093,associate,12,2010
Forest and conservation technicians,19-4093,bachelor,30.9,2010
Forest and conservation technicians,19-4093,master,10.3,2010
Forest and conservation technicians,19-4093,doctor/professional,4.8,2010
"Life, physical, and social science technicians, all other",19-4099,less hs,3.2,2010
"Life, physical, and social science technicians, all other",19-4099,high school,13.8,2010
"Life, physical, and social science technicians, all other",19-4099,"some college, no degree",25,2010
"Life, physical, and social science technicians, all other",19-4099,associate,12,2010
"Life, physical, and social science technicians, all other",19-4099,bachelor,30.9,2010
"Life, physical, and social science technicians, all other",19-4099,master,10.3,2010
"Life, physical, and social science technicians, all other",19-4099,doctor/professional,4.8,2010
Substance abuse and behavioral disorder counselors,21-1011,less hs,0.8,2010
Substance abuse and behavioral disorder counselors,21-1011,high school,5,2010
Substance abuse and behavioral disorder counselors,21-1011,"some college, no degree",9.9,2010
Substance abuse and behavioral disorder counselors,21-1011,associate,5.5,2010
Substance abuse and behavioral disorder counselors,21-1011,bachelor,26.3,2010
Substance abuse and behavioral disorder counselors,21-1011,master,47.5,2010
Substance abuse and behavioral disorder counselors,21-1011,doctor/professional,5.1,2010
"Educational, guidance, school, and vocational counselors",21-1012,less hs,0.8,2010
"Educational, guidance, school, and vocational counselors",21-1012,high school,5,2010
"Educational, guidance, school, and vocational counselors",21-1012,"some college, no degree",9.9,2010
"Educational, guidance, school, and vocational counselors",21-1012,associate,5.5,2010
"Educational, guidance, school, and vocational counselors",21-1012,bachelor,26.3,2010
"Educational, guidance, school, and vocational counselors",21-1012,master,47.5,2010
"Educational, guidance, school, and vocational counselors",21-1012,doctor/professional,5.1,2010
Marriage and family therapists,21-1013,less hs,0.8,2010
Marriage and family therapists,21-1013,high school,5,2010
Marriage and family therapists,21-1013,"some college, no degree",9.9,2010
Marriage and family therapists,21-1013,associate,5.5,2010
Marriage and family therapists,21-1013,bachelor,26.3,2010
Marriage and family therapists,21-1013,master,47.5,2010
Marriage and family therapists,21-1013,doctor/professional,5.1,2010
Mental health counselors,21-1014,less hs,0.8,2010
Mental health counselors,21-1014,high school,5,2010
Mental health counselors,21-1014,"some college, no degree",9.9,2010
Mental health counselors,21-1014,associate,5.5,2010
Mental health counselors,21-1014,bachelor,26.3,2010
Mental health counselors,21-1014,master,47.5,2010
Mental health counselors,21-1014,doctor/professional,5.1,2010
